agent_action;agent_location;human_action;human_location;world_nr;tick_nr
;(28, 28);;(1, 1);1;0
;(28, 28);;(1, 1);1;1
;(28, 28);;(1, 1);1;2
;(28, 28);;(1, 1);1;3
;(28, 28);;(1, 1);1;4
;(28, 28);;(1, 1);1;5
;(28, 28);;(1, 1);1;6
;(28, 28);;(1, 1);1;7
;(28, 28);;(1, 1);1;8
;(28, 28);;(1, 1);1;9
;(28, 28);;(1, 1);1;10
;(28, 28);;(1, 1);1;11
;(28, 28);;(1, 1);1;12
;(28, 28);;(1, 1);1;13
;(28, 28);;(1, 1);1;14
;(28, 28);;(1, 1);1;15
;(28, 28);;(1, 1);1;16
;(28, 28);;(1, 1);1;17
;(28, 28);;(1, 1);1;18
;(28, 28);;(1, 1);1;19
;(28, 28);;(1, 1);1;20
;(28, 28);;(1, 1);1;21
;(28, 28);;(1, 1);1;22
;(28, 28);;(1, 1);1;23
;(28, 28);;(1, 1);1;24
;(28, 28);;(1, 1);1;25
;(28, 28);;(1, 1);1;26
;(28, 28);;(1, 1);1;27
;(28, 28);;(1, 1);1;28
;(28, 28);;(1, 1);1;29
;(28, 28);;(1, 1);1;30
;(28, 28);;(1, 1);1;31
;(28, 28);;(1, 1);1;32
;(28, 28);;(1, 1);1;33
;(28, 28);;(1, 1);1;34
;(28, 28);;(1, 1);1;35
;(28, 28);;(1, 1);1;36
;(28, 28);;(1, 1);1;37
;(28, 28);;(1, 1);1;38
;(28, 28);;(1, 1);1;39
;(28, 28);;(1, 1);1;40
;(28, 28);;(1, 1);1;41
;(28, 28);;(1, 1);1;42
;(28, 28);;(1, 1);1;43
;(28, 28);;(1, 1);1;44
;(28, 28);;(1, 1);1;45
;(28, 28);;(1, 1);1;46
;(28, 28);;(1, 1);1;47
;(28, 28);;(1, 1);1;48
;(28, 28);;(1, 1);1;49
;(28, 28);;(1, 1);1;50
;(28, 28);;(1, 1);1;51
;(28, 28);;(1, 1);1;52
;(28, 28);;(1, 1);1;53
;(28, 28);;(1, 1);1;54
;(28, 28);;(1, 1);1;55
;(28, 28);;(1, 1);1;56
;(28, 28);;(1, 1);1;57
;(28, 28);;(1, 1);1;58
;(28, 28);;(1, 1);1;59
;(28, 28);;(1, 1);1;60
;(28, 28);;(1, 1);1;61
;(28, 28);;(1, 1);1;62
;(28, 28);;(1, 1);1;63
MoveNorth;(28, 28);;(1, 1);1;64
MoveNorth;(28, 28);;(1, 1);1;65
MoveNorth;(28, 28);;(1, 1);1;66
MoveNorth;(28, 28);;(1, 1);1;67
MoveNorth;(28, 28);;(1, 1);1;68
MoveNorth;(28, 27);;(1, 1);1;69
MoveNorth;(28, 27);;(1, 1);1;70
MoveNorth;(28, 27);;(1, 1);1;71
MoveNorth;(28, 27);;(1, 1);1;72
MoveNorth;(28, 27);;(1, 1);1;73
MoveNorth;(28, 27);;(1, 1);1;74
MoveNorth;(28, 26);;(1, 1);1;75
MoveNorth;(28, 26);;(1, 1);1;76
MoveNorth;(28, 26);MoveSouth;(1, 1);1;77
MoveNorth;(28, 26);MoveSouth;(1, 2);1;78
MoveNorth;(28, 26);;(1, 2);1;79
MoveNorth;(28, 26);;(1, 2);1;80
MoveNorth;(28, 25);MoveSouth;(1, 2);1;81
MoveNorth;(28, 25);MoveSouth;(1, 3);1;82
MoveNorth;(28, 25);;(1, 3);1;83
MoveNorth;(28, 25);MoveSouth;(1, 3);1;84
MoveNorth;(28, 25);MoveSouth;(1, 4);1;85
MoveNorth;(28, 25);;(1, 4);1;86
MoveNorth;(28, 24);;(1, 4);1;87
MoveNorth;(28, 24);;(1, 4);1;88
MoveNorth;(28, 24);;(1, 4);1;89
MoveNorth;(28, 24);;(1, 4);1;90
MoveNorth;(28, 24);;(1, 4);1;91
MoveNorth;(28, 24);;(1, 4);1;92
MoveNorth;(28, 23);;(1, 4);1;93
MoveNorth;(28, 23);;(1, 4);1;94
MoveNorth;(28, 23);MoveSouth;(1, 4);1;95
MoveNorth;(28, 23);MoveSouth;(1, 5);1;96
MoveNorth;(28, 23);MoveSouth;(1, 5);1;97
MoveNorth;(28, 23);MoveSouth;(1, 6);1;98
MoveNorth;(28, 22);;(1, 6);1;99
MoveNorth;(28, 22);;(1, 6);1;100
MoveNorth;(28, 22);;(1, 6);1;101
MoveNorth;(28, 22);;(1, 6);1;102
MoveNorth;(28, 22);;(1, 6);1;103
MoveNorth;(28, 22);;(1, 6);1;104
MoveNorth;(28, 21);MoveEast;(1, 6);1;105
MoveNorth;(28, 21);MoveEast;(2, 6);1;106
MoveNorth;(28, 21);;(2, 6);1;107
MoveNorth;(28, 21);MoveEast;(2, 6);1;108
MoveNorth;(28, 21);MoveEast;(3, 6);1;109
MoveNorth;(28, 21);;(3, 6);1;110
MoveNorth;(28, 20);MoveEast;(3, 6);1;111
MoveNorth;(28, 20);MoveEast;(4, 6);1;112
MoveNorth;(28, 20);;(4, 6);1;113
MoveNorth;(28, 20);MoveEast;(4, 6);1;114
MoveNorth;(28, 20);MoveEast;(5, 6);1;115
MoveNorth;(28, 20);;(5, 6);1;116
MoveNorth;(28, 19);MoveEast;(5, 6);1;117
MoveNorth;(28, 19);MoveEast;(6, 6);1;118
MoveNorth;(28, 19);MoveEast;(6, 6);1;119
MoveNorth;(28, 19);MoveEast;(7, 6);1;120
MoveNorth;(28, 19);;(7, 6);1;121
MoveNorth;(28, 19);MoveEast;(7, 6);1;122
MoveNorth;(28, 18);MoveEast;(8, 6);1;123
MoveNorthWest;(28, 18);;(8, 6);1;124
MoveNorthWest;(28, 18);;(8, 6);1;125
MoveNorthWest;(28, 18);;(8, 6);1;126
MoveNorthWest;(28, 18);MoveSouth;(8, 6);1;127
MoveNorthWest;(28, 18);MoveSouth;(8, 7);1;128
MoveNorthWest;(27, 17);;(8, 7);1;129
MoveWest;(27, 17);;(8, 7);1;130
MoveWest;(27, 17);;(8, 7);1;131
MoveWest;(27, 17);;(8, 7);1;132
