total_messages_human;total_messages_agent;average_message_length_human;average_message_length_agent;world_nr;tick_nr
0;0;nan;nan;1;0
0;0;nan;nan;1;1
0;1;nan;57.0;1;2
0;1;nan;57.0;1;3
0;1;nan;57.0;1;4
0;1;nan;57.0;1;5
0;1;nan;57.0;1;6
0;1;nan;57.0;1;7
0;1;nan;57.0;1;8
0;1;nan;57.0;1;9
0;1;nan;57.0;1;10
0;1;nan;57.0;1;11
0;1;nan;57.0;1;12
0;1;nan;57.0;1;13
0;1;nan;57.0;1;14
0;1;nan;57.0;1;15
0;1;nan;57.0;1;16
1;1;1.0;57.0;1;17
1;2;1.0;50.5;1;18
1;2;1.0;50.5;1;19
1;2;1.0;50.5;1;20
1;2;1.0;50.5;1;21
1;2;1.0;50.5;1;22
1;2;1.0;50.5;1;23
1;2;1.0;50.5;1;24
1;2;1.0;50.5;1;25
1;2;1.0;50.5;1;26
1;2;1.0;50.5;1;27
1;2;1.0;50.5;1;28
1;2;1.0;50.5;1;29
1;2;1.0;50.5;1;30
1;2;1.0;50.5;1;31
1;2;1.0;50.5;1;32
1;2;1.0;50.5;1;33
1;2;1.0;50.5;1;34
1;2;1.0;50.5;1;35
1;2;1.0;50.5;1;36
1;2;1.0;50.5;1;37
1;2;1.0;50.5;1;38
1;2;1.0;50.5;1;39
1;2;1.0;50.5;1;40
1;2;1.0;50.5;1;41
1;2;1.0;50.5;1;42
1;2;1.0;50.5;1;43
1;2;1.0;50.5;1;44
1;2;1.0;50.5;1;45
1;2;1.0;50.5;1;46
1;2;1.0;50.5;1;47
1;2;1.0;50.5;1;48
1;2;1.0;50.5;1;49
1;2;1.0;50.5;1;50
1;2;1.0;50.5;1;51
1;2;1.0;50.5;1;52
1;2;1.0;50.5;1;53
1;2;1.0;50.5;1;54
1;2;1.0;50.5;1;55
1;2;1.0;50.5;1;56
1;2;1.0;50.5;1;57
1;2;1.0;50.5;1;58
1;2;1.0;50.5;1;59
1;2;1.0;50.5;1;60
1;2;1.0;50.5;1;61
1;2;1.0;50.5;1;62
1;2;1.0;50.5;1;63
1;2;1.0;50.5;1;64
1;2;1.0;50.5;1;65
1;2;1.0;50.5;1;66
1;2;1.0;50.5;1;67
1;2;1.0;50.5;1;68
1;2;1.0;50.5;1;69
1;2;1.0;50.5;1;70
2;2;1.0;50.5;1;71
2;3;1.0;52.67;1;72
2;3;1.0;52.67;1;73
2;3;1.0;52.67;1;74
2;3;1.0;52.67;1;75
2;3;1.0;52.67;1;76
2;3;1.0;52.67;1;77
2;3;1.0;52.67;1;78
2;3;1.0;52.67;1;79
2;3;1.0;52.67;1;80
2;3;1.0;52.67;1;81
2;3;1.0;52.67;1;82
2;3;1.0;52.67;1;83
2;3;1.0;52.67;1;84
2;3;1.0;52.67;1;85
2;3;1.0;52.67;1;86
2;3;1.0;52.67;1;87
2;3;1.0;52.67;1;88
3;3;1.0;52.67;1;89
3;3;1.0;52.67;1;90
3;4;1.0;53.75;1;91
3;4;1.0;53.75;1;92
3;4;1.0;53.75;1;93
3;4;1.0;53.75;1;94
3;4;1.0;53.75;1;95
3;4;1.0;53.75;1;96
3;4;1.0;53.75;1;97
3;4;1.0;53.75;1;98
3;4;1.0;53.75;1;99
3;4;1.0;53.75;1;100
3;4;1.0;53.75;1;101
4;4;1.0;53.75;1;102
4;5;1.0;55.2;1;103
4;5;1.0;55.2;1;104
4;5;1.0;55.2;1;105
4;5;1.0;55.2;1;106
4;5;1.0;55.2;1;107
4;5;1.0;55.2;1;108
4;5;1.0;55.2;1;109
4;5;1.0;55.2;1;110
4;5;1.0;55.2;1;111
4;5;1.0;55.2;1;112
4;5;1.0;55.2;1;113
4;5;1.0;55.2;1;114
4;5;1.0;55.2;1;115
4;5;1.0;55.2;1;116
4;5;1.0;55.2;1;117
4;5;1.0;55.2;1;118
4;5;1.0;55.2;1;119
4;5;1.0;55.2;1;120
4;5;1.0;55.2;1;121
4;5;1.0;55.2;1;122
4;5;1.0;55.2;1;123
4;5;1.0;55.2;1;124
4;5;1.0;55.2;1;125
4;5;1.0;55.2;1;126
4;5;1.0;55.2;1;127
4;5;1.0;55.2;1;128
4;5;1.0;55.2;1;129
4;5;1.0;55.2;1;130
4;5;1.0;55.2;1;131
4;5;1.0;55.2;1;132
4;5;1.0;55.2;1;133
4;5;1.0;55.2;1;134
4;5;1.0;55.2;1;135
4;5;1.0;55.2;1;136
4;5;1.0;55.2;1;137
4;5;1.0;55.2;1;138
4;5;1.0;55.2;1;139
4;5;1.0;55.2;1;140
4;5;1.0;55.2;1;141
4;5;1.0;55.2;1;142
4;5;1.0;55.2;1;143
4;5;1.0;55.2;1;144
4;5;1.0;55.2;1;145
4;5;1.0;55.2;1;146
4;5;1.0;55.2;1;147
4;5;1.0;55.2;1;148
4;5;1.0;55.2;1;149
4;5;1.0;55.2;1;150
4;5;1.0;55.2;1;151
4;5;1.0;55.2;1;152
4;5;1.0;55.2;1;153
4;5;1.0;55.2;1;154
4;5;1.0;55.2;1;155
4;5;1.0;55.2;1;156
4;5;1.0;55.2;1;157
4;5;1.0;55.2;1;158
4;5;1.0;55.2;1;159
4;5;1.0;55.2;1;160
4;5;1.0;55.2;1;161
4;5;1.0;55.2;1;162
4;5;1.0;55.2;1;163
